locus	ID_Full	sequence_path	source_sha256	source_class	ID	Haplotype
HML-2_11q22.1	HG01786_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01786_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01891_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01891_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01928_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01928_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01928_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01928_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01934_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01934_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01940_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01940_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01943_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01943_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01943_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01943_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01952_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01952_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01952_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01952_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01960_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01960_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01969_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01969_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01969_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01969_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01993_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01993_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01993_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01993_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
