source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	1q22	348	2.0	0.0032955182468469837	0.9765898791755727	0.020114602577580354	0.1407732267408153
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	3q13.2	347	2.0	0.003295543226685272	0.9765988579031821	0.020105598870132635	0.14082830714204353
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	3q27.2	369	2.0	0.003295024950398525	0.9764070683347787	0.020297906714822678	0.13966153071412396
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	5q33.3	481	2.0	0.0032931215848761223	0.9755803003429248	0.021126578072199087	0.13485512234471686
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	10p12.1	427	2.91	0.019032391741435152	0.9181665643633385	0.06280104389522634	0.23257476107857095
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	11q23.3	523	24.18	0.20694982694882808	0.7407104806355758	0.052339692415596106	0.7981418896379141
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	12q13.2	237	2.0	0.010303657087387327	0.9322316459627213	0.057464696949891314	0.15204230992122658
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	19p12e	489	23.47	0.20130019630181553	0.7464893523037762	0.052210451394408275	0.7940502623109903
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	1p31.1b	67	2.0	0.010404010942859117	0.9440276083595679	0.04556838069757296	0.18587754851882543
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	1q22	348	2.0	0.010291048606066854	0.9286643971450979	0.06104455424883526	0.14426244671961383
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	1q23.3	350	14.14	0.12320164608424682	0.8222311408532862	0.054567213062467035	0.6930440273713389
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	21q21.1	181	6.27	0.05143500293921519	0.8954286187609156	0.05313637829986917	0.4918650048393064
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	22q11.21	217	3.34	0.023239389450702218	0.9204026015163861	0.05635800903291166	0.29196167077604085
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	3p25.3	381	21.96	0.189153013684486	0.7597383209558612	0.05110866535965275	0.7872791634396947
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	3q12.3	371	9.98	0.08595604967584791	0.8566587737604063	0.057385176563745754	0.5996603484622985
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	3q13.2	347	2.0	0.010291126182807746	0.9286910787499693	0.061017795067223046	0.14431751318637862
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	3q27.2	369	2.0	0.010289516635432722	0.9281212611479449	0.06158922221662233	0.1431510457718407
