outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	q_bh_finite_model_suite	adjustment	analysis_model_status	analysis_n	included_in_bh_family	bh_family_size	bh_exclusion_reason
Mandage2017_EBV_in_silico	HML-2_1p31.1b::compatible_env_units	0.717877815982396	NA	NA	NA	NA	False	0.717877815982396	0.9825156698250392	HML-2_1p31.1b::total_internal_fragment_cn	fit	116	True	174	
Mandage2017_EBV_in_silico	general::type1_compatible_np9_units	0.67749200519546	fit	0.7302245552922653	0.0393889698048932	116.0	True	0.7302245552922653	0.9825156698250392	general::type1_physical_units	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_3q13.2::structural::solo_ltr_vs_any_provirus	0.731039156774917	NA	NA	NA	NA	False	0.731039156774917	0.9825156698250392	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_3q13.2::structural::solo_ltr_vs_provirus	0.73484010222711	NA	NA	NA	NA	False	0.73484010222711	0.9825156698250392	NA	fit	46	True	174	
Mandage2017_EBV_in_silico	HML-2_11q23.3::structural::solo_ltr_vs_any_provirus	0.746074638768553	NA	NA	NA	NA	False	0.746074638768553	0.9825156698250392	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_11q23.3::structural::solo_ltr_vs_provirus	0.746074638768553	NA	NA	NA	NA	False	0.746074638768553	0.9825156698250392	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	general::type1_compatible_pol_units	0.65604958179905	fit	0.7590132647811683	0.0403836797522022	116.0	True	0.7590132647811683	0.9825156698250392	general::type1_physical_units	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_7p22.1::max_haplotype_cn	0.759587487377293	NA	NA	NA	NA	False	0.759587487377293	0.9825156698250392	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	general::type2_loci_present	0.944423159695284	fit	0.7685700021702753	-0.014228163206894	116.0	True	0.7685700021702753	0.9825156698250392	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::orf::orf_gag_pro	0.770790338044106	NA	NA	NA	NA	False	0.770790338044106	0.9825156698250392	HML-2_12q13.2::orf::orf_gag_pro::provirus_dosage_adjustment	fit	78	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::orf::orf_pro	0.770790338044106	NA	NA	NA	NA	False	0.770790338044106	0.9825156698250392	HML-2_12q13.2::orf::orf_pro::provirus_dosage_adjustment	fit	78	True	174	
