outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Im2012_intrinsic_growth	general::type1_compatible_pol_units	general::type1_physical_units	fit	34	-0.1741607666296385	0.19795416161465776	0.38595927727036405	-0.5784370985054578	0.2301155652461808	-0.15916592151088982	fit	-0.3684461400334227	0.14232101635147087	0.8558227452516769
Im2012_intrinsic_growth	general::type1_compatible_np9_units	general::type1_physical_units	fit	34	-0.25065718387734964	0.321388425754644	0.4415482240777167	-0.9070199135700745	0.40570554581537516	-0.30928883013132946	fit	-0.36901817036958806	0.2671397038418954	0.938289976165148
Im2012_intrinsic_growth	general::type2_compatible_pro_units	general::type2_physical_units	fit	34	0.1010164412337845	0.14008927819636108	0.47643876423501885	-0.18508403304976528	0.3871169155173343	0.12401577834680022	fit	0.13140346178104736	0.4359304651333103	0.9719350790394384
Im2012_intrinsic_growth	general::type1_loci_present		fit	34	0.13975062159214766	0.2270530654734655	0.5428677109653683	-0.3239536001430725	0.6034548433273678	0.11770729053841483	fit	0.14523821137266563	0.4937588436490605	0.9875822114540099
Im2012_intrinsic_growth	general::type1_compatible_env_units	general::type1_physical_units	fit	34	0.20286450531359634	0.33783487907801407	0.5526933550372073	-0.48708636300529107	0.8928153736324838	0.1612072061311916	fit	0.36221641661648807	0.29491591601815276	0.9875822114540099
Im2012_intrinsic_growth	general::type1_physical_units		fit	34	0.07736415319644668	0.13217515518577205	0.5627129573411289	-0.1925735256467973	0.34730183203969067	0.12187539811662491	fit	0.05493612810927267	0.6702159749914245	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_loci_present		fit	116	-0.06112315524962743	0.12092919891144523	0.6142302390658019	-0.3007057090127315	0.17845939851347664	-0.049018573615445135	fit	-0.005990036365175077	0.9638674075216566	0.9875822114540099
Im2012_intrinsic_growth	general::type2_compatible_env_units	general::type2_physical_units	fit	34	0.09713154142663695	0.1946629171152482	0.6214377293762988	-0.30042317246108524	0.4946862553143591	0.11037071251597878	fit	0.08132094857074129	0.637567693529785	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_physical_units		fit	116	0.022333797172024702	0.054426711794911126	0.682328960548874	-0.0854953352635755	0.1301629296076249	0.039719286920824555	fit	0.035956916978123886	0.5344561416898505	0.9875822114540099
Im2012_intrinsic_growth	general::type2_compatible_gag_units	general::type2_physical_units	fit	34	-0.05689204225340005	0.1562505892879378	0.7183313645929443	-0.37599831703699266	0.26221423253019255	-0.06967433340177079	fit	-0.04910604937933554	0.7554622751324503	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_compatible_np9_units	general::type1_physical_units	fit	116	0.039388969804894085	0.11394573309679272	0.7302245552923632	-0.18635807864557674	0.2651360182553649	0.061351070311812986	fit	0.009091661617470215	0.938712996037172	0.9875822114540099
Im2012_intrinsic_growth	general::type2_compatible_pol_units	general::type2_physical_units	fit	34	-0.0946629073336329	0.27642687839823216	0.7343986208426112	-0.659201907267674	0.4698760926004082	-0.07284742297618008	fit	-0.09170784191512864	0.7134543803553068	0.9875822114540099
Houldcroft2014_EBV_qPCR	general::type2_compatible_pol_units	general::type2_physical_units	fit	47	-0.005181154964931567	0.015612674268065879	0.7416103803492115	-0.036667113370425	0.026304803440561866	-0.04394425496081545	fit	0.002246463284032117	0.8510376304429784	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_compatible_pol_units	general::type1_physical_units	fit	116	0.040383679752202556	0.131320276449331	0.7590132647811666	-0.2197854727421157	0.30055283224652085	0.03507118024490247	fit	-0.015609852449442217	0.9073178486720707	0.9875822114540099
Mandage2017_EBV_in_silico	general::type2_compatible_pro_units	general::type2_physical_units	fit	116	-0.021562750152125595	0.07089295801546718	0.7615659514005044	-0.16201448619317732	0.11888898588892614	-0.034967258760672054	fit	-0.0022716640433668575	0.9778119800172925	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_compatible_pro_units	general::type1_physical_units	fit	116	-0.027787737927703025	0.10042610474764746	0.7825172197726149	-0.22674996422626162	0.17117448837085555	-0.03600387096879902	fit	0.012491697506404394	0.9067661962840242	0.9875822114540099
Mandage2017_EBV_in_silico	general::type2_loci_present		fit	116	-0.008510536318515963	0.03910395806288434	0.8281031025331049	-0.08598253000807698	0.06896145737104506	-0.021149409101246724	fit	0.004676118620719215	0.9228827684162438	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_fraction		fit	116	0.770264186552536	3.9074330985019667	0.8440815646785668	-6.971065523926333	8.511593897031405	0.015413381954726956	fit	1.8413363523444506	0.6847278016300524	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_type2_log_ratio		fit	116	0.11019179962603606	0.6025813426356238	0.855230641825496	-1.0836305213533781	1.30401412060545	0.014290255014830774	fit	0.2696976382421663	0.700319398918376	0.9875822114540099
Mandage2017_EBV_in_silico	general::type2_physical_units		fit	116	0.003462059910577294	0.021247159676123784	0.8708549498371451	-0.03863239553310632	0.045556515354260904	0.01589494234477961	fit	0.003754698900404199	0.8805655841993875	0.9875822114540099
Houldcroft2014_EBV_qPCR	general::type2_compatible_rec_units	general::type2_physical_units	fit	47	-0.0018692913155940987	0.0117179278946645	0.8740029806347431	-0.025500745091878115	0.02176216246068992	-0.04666796835795713	fit	-0.0030970067910874987	0.7950735881258694	0.9875822114540099
Mandage2017_EBV_in_silico	general::type2_compatible_gag_units	general::type2_physical_units	fit	116	-0.010480720438020195	0.07194821248529677	0.8844411704430136	-0.15302310590888288	0.13206166503284247	-0.014745141402668867	fit	0.05016904828905526	0.49145748415823937	0.9875822114540099
Im2012_intrinsic_growth	general::type2_compatible_rec_units	general::type2_physical_units	fit	34	-0.026238586717370067	0.2002657603762525	0.8966350846284458	-0.4352358330740143	0.3827586596392742	-0.06053001357251188	fit	-0.00923963375980207	0.9589868255693681	0.9875822114540099
Houldcroft2014_EBV_qPCR	general::type1_compatible_pro_units	general::type1_physical_units	fit	47	0.002650677525385049	0.023382132873375396	0.9102701019403502	-0.044503887441659576	0.04980524249242968	0.02589351790697803	fit	0.006784044074409843	0.7621451083095887	0.9875822114540099
Houldcroft2014_EBV_qPCR	general::type2_compatible_gag_units	general::type2_physical_units	fit	47	0.0004147511599651646	0.007523757028804173	0.9562937901202703	-0.014758350948909723	0.015587853268840051	0.005354989978327693	fit	0.006081851781189938	0.28729661321527644	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_compatible_env_units	general::type1_physical_units	fit	116	-0.0058629789433124685	0.1120060305387903	0.95834605611702	-0.22776712678276254	0.2160411688961376	-0.006212956041181545	fit	0.0012593963324882963	0.9914540077713659	0.9875822114540099
Im2012_intrinsic_growth	general::type1_compatible_pro_units	general::type1_physical_units	fit	34	0.012447903262433314	0.27139935996811826	0.9637213031680669	-0.5418235342582394	0.5667193407831059	0.009474425810593512	fit	-0.0526473717390956	0.8652830009148841	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_compatible_gag_units	general::type1_physical_units	fit	116	-0.0027957266525891673	0.09620960079864675	0.9768690280444287	-0.19340429814199323	0.18781284483681487	-0.003754336308687364	fit	0.019122918057614405	0.8326425431420118	0.9875822114540099
Mandage2017_EBV_in_silico	general::type1_minus_type2_units		fit	116	-0.0003142626751293408	0.020146983055908847	0.98758221145401	-0.04022906980695592	0.03960054445669723	-0.0013583688272768438	fit	0.002209982775841985	0.9261720358292185	0.9875822114540099
