alignment	record	reason
15p13b_carrier_kcon.aln.fa	HG02155_hap2#c1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG02293_mat#c1	source_identity_ambiguous_2_exact_matches_of_2_candidates
15p13b_carrier_kcon.aln.fa	HG02523_pat#c1	source_identity_ambiguous_2_exact_matches_of_2_candidates
15p13b_carrier_kcon.aln.fa	HG02965_hap2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG03710_pat#c1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	NA18967_hap2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA18970_hap1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA19087_hap2#c1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA19159_hap1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA20129_mat	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA20762_hap1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA20806_hap1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA20827_hap2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	NA20850_hap2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN#c1	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN#c2	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN#c1	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN#c2	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN#c3	unrecognized_or_reference_alignment_record
15p13b_carrier_kcon.aln.fa	HG00096_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00096_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00171_h1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00268_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00268_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00358_h1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00512_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00513_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00513_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00731_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00731_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00732_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01114_h1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01352_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG01352_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG01457_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG01505_h1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01505_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01596_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG01890_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
