observation	ascertainment_scenario	dirichlet_alpha_per_lesion	model	parameter	q025	q25	median	q75	q975
orthology_aware_floor	broad	1.0	source_plus_focal_effect	focal_probability	0.5188970553694775	0.6539074301151685	0.7196308599347644	0.7794126210151808	0.8685737681239326
orthology_aware_floor	broad	2.0	source_opportunity_only	source_ratio	1.4601445273347384	2.3642804686477805	3.0512954007486868	3.9448152995670434	6.69431322272777
orthology_aware_floor	broad	2.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	broad	2.0	source_opportunity_only	focal_ascertainment	1.4725938714990499	2.582905772171086	3.1637721758594846	3.6125998616950468	3.96542114710093
orthology_aware_floor	broad	2.0	source_opportunity_only	focal_probability	0.4249456877556251	0.5423500813498668	0.6019278739924675	0.657531864981752	0.751513593894914
orthology_aware_floor	broad	2.0	source_plus_focal_effect	source_ratio	0.23533675852063052	0.662116175082208	1.1070425882187152	1.7638813539019478	3.880652336355445
orthology_aware_floor	broad	2.0	source_plus_focal_effect	focal_effect	1.7549926554467745	5.913686460480535	12.384295642185636	23.623943808104656	45.91729820557196
orthology_aware_floor	broad	2.0	source_plus_focal_effect	focal_ascertainment	0.2859981033278933	0.6573783866586377	1.2578198792045059	2.261046573892675	3.846251898978384
orthology_aware_floor	broad	2.0	source_plus_focal_effect	focal_probability	0.5143072790242105	0.645200198105104	0.7065922405918006	0.7615206056213714	0.8207820486296629
orthology_aware_floor	broad	5.0	source_opportunity_only	source_ratio	1.1716473208015394	1.7437125664799984	2.1448943444074873	2.6138023908833388	3.45360879095926
orthology_aware_floor	broad	5.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	broad	5.0	source_opportunity_only	focal_ascertainment	1.9868460128261476	2.987103706040766	3.449641228031103	3.741479186659889	3.9746807137211797
orthology_aware_floor	broad	5.0	source_opportunity_only	focal_probability	0.3825279532501712	0.48453091958232486	0.5384404996152836	0.5917434951281018	0.6527832924452482
orthology_aware_floor	broad	5.0	source_plus_focal_effect	source_ratio	0.35734687433498075	0.7133980020034212	1.1673778312279945	1.518324734320871	2.628020293238156
orthology_aware_floor	broad	5.0	source_plus_focal_effect	focal_effect	1.9392630567083966	4.038002484933783	7.111099468408674	15.746177413294216	30.73590938436922
orthology_aware_floor	broad	5.0	source_plus_focal_effect	focal_ascertainment	0.2546564959221076	0.6498855880731486	1.279420711114028	2.4110471755154617	3.4567713743837385
orthology_aware_floor	broad	5.0	source_plus_focal_effect	focal_probability	0.48778462144343876	0.5999200892862168	0.6503850423129706	0.6602840479898933	0.6730784565037969
orthology_aware_floor	broad	20.0	source_opportunity_only	source_ratio	0.7871689617369725	0.9635506235980128	1.0229282112755607	1.1882256519513008	1.567736977036995
orthology_aware_floor	broad	20.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	broad	20.0	source_opportunity_only	focal_ascertainment	1.939190467717098	2.6719746124666703	3.0918671349097746	3.5886435084200694	3.8811287521903406
orthology_aware_floor	broad	20.0	source_opportunity_only	focal_probability	0.28612497965966094	0.33933725645095536	0.3595161456316011	0.3694106283721154	0.3771316091254252
orthology_aware_floor	broad	20.0	source_plus_focal_effect	source_ratio	0.5683355132291776	0.8679144377785611	0.9617970970469024	1.237569121183935	1.6784822288011125
orthology_aware_floor	broad	20.0	source_plus_focal_effect	focal_effect	1.0129478880223557	2.10772425787576	2.5931001061938743	4.778010285937254	12.480925897613664
orthology_aware_floor	broad	20.0	source_plus_focal_effect	focal_ascertainment	0.29493430551332445	0.6234986726303774	1.1880889113371806	1.7954408819508378	3.55597742160512
orthology_aware_floor	broad	20.0	source_plus_focal_effect	focal_probability	0.2960282572028701	0.34617604443589395	0.3657251399978776	0.376726577665826	0.39167675877421804
inclusive_ceiling	narrow	0.1	source_opportunity_only	source_ratio	5.946743805469751	11.100097906510408	15.691542626366115	22.45739173599917	46.24694392461538
inclusive_ceiling	narrow	0.1	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	0.1	source_opportunity_only	focal_ascertainment	0.6859847870180279	0.8412788394116145	1.0353204443883846	1.2549043456505842	1.4740929546198738
inclusive_ceiling	narrow	0.1	source_opportunity_only	focal_probability	0.5294920502978251	0.6628566323664224	0.7277674024584838	0.7868256729996425	0.8782942968525246
inclusive_ceiling	narrow	0.1	source_plus_focal_effect	source_ratio	0.26197619932448185	0.8471692503837658	2.0369312886318074	5.153256833635599	19.382834949959356
inclusive_ceiling	narrow	0.1	source_plus_focal_effect	focal_effect	1.1566801961615714	3.367332683498442	8.698702517672354	20.849536069094864	45.77176234554801
inclusive_ceiling	narrow	0.1	source_plus_focal_effect	focal_ascertainment	0.6844950958192777	0.8261986381862171	1.0115613171403526	1.2338182685492438	1.4713962387022028
inclusive_ceiling	narrow	0.1	source_plus_focal_effect	focal_probability	0.5426778594189344	0.6765008208773803	0.7409711784900485	0.7990585866142218	0.8876923622211661
inclusive_ceiling	narrow	0.25	source_opportunity_only	source_ratio	5.350846124739009	9.703004754637425	13.487553850988197	18.96143135199762	37.578231346681
inclusive_ceiling	narrow	0.25	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	0.25	source_opportunity_only	focal_ascertainment	0.6906636497429807	0.8763844362445156	1.0814438177992216	1.2891272450545492	1.4785890092817937
inclusive_ceiling	narrow	0.25	source_opportunity_only	focal_probability	0.5073091980761724	0.6385842398436264	0.7034686691809605	0.7632220991105948	0.8582676113099611
inclusive_ceiling	narrow	0.25	source_plus_focal_effect	source_ratio	0.25926524449342175	0.7662484726938855	1.6439723529139327	3.768597035611715	14.142665237422309
inclusive_ceiling	narrow	0.25	source_plus_focal_effect	focal_effect	1.2801103086472116	4.468662783816875	10.661901843762749	22.932666103997494	46.103854224657766
inclusive_ceiling	narrow	0.25	source_plus_focal_effect	focal_ascertainment	0.6850766956757803	0.8313737481948645	1.0205900394791239	1.2411293116845372	1.4720325100320584
inclusive_ceiling	narrow	0.25	source_plus_focal_effect	focal_probability	0.5392634873480473	0.6721693569100626	0.7362058863174386	0.7939303484964627	0.8830403332749486
inclusive_ceiling	narrow	0.5	source_opportunity_only	source_ratio	4.607369227709796	8.052924185109545	10.930249772620005	14.971466491219951	28.15540436873872
inclusive_ceiling	narrow	0.5	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	0.5	source_opportunity_only	focal_ascertainment	0.700810978569956	0.9346423109112657	1.145022583533026	1.3301109653660517	1.4834941590048643
inclusive_ceiling	narrow	0.5	source_opportunity_only	focal_probability	0.47618942009198684	0.6034801605491629	0.6676135988608365	0.72766570676975	0.8265082392553483
inclusive_ceiling	narrow	0.5	source_plus_focal_effect	source_ratio	0.2607402283528201	0.7095505029561607	1.3660759244598406	2.743571267780158	9.404983636312048
inclusive_ceiling	narrow	0.5	source_plus_focal_effect	focal_effect	1.5963418358863024	5.969451294337847	12.799778034869323	24.823446468651664	46.42344272974923
inclusive_ceiling	narrow	0.5	source_plus_focal_effect	focal_ascertainment	0.6855273878873308	0.8366744283002959	1.0275072902359736	1.2470112694173536	1.4729461874210517
inclusive_ceiling	narrow	0.5	source_plus_focal_effect	focal_probability	0.5364772755115744	0.6689183826870133	0.7327922155440145	0.7906826341450284	0.879491530358963
inclusive_ceiling	narrow	1.0	source_opportunity_only	source_ratio	3.706094393274116	6.139038625025768	8.047189265425025	10.633013137198114	18.504210888151356
inclusive_ceiling	narrow	1.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	1.0	source_opportunity_only	focal_ascertainment	0.7301338354174347	1.0320785195732696	1.2282010782076478	1.3757631554012237	1.4884274908700525
inclusive_ceiling	narrow	1.0	source_opportunity_only	focal_probability	0.430039131939438	0.5493048466320216	0.6111456677145336	0.6704976838814692	0.7722467148656599
inclusive_ceiling	narrow	1.0	source_plus_focal_effect	source_ratio	0.2724270040653277	0.6737040900666031	1.1669974519399495	2.0334242888785976	5.620329587990268
inclusive_ceiling	narrow	1.0	source_plus_focal_effect	focal_effect	2.3413360944749493	7.880767933249018	14.948489032578294	26.406320937984713	46.329092427684735
inclusive_ceiling	narrow	1.0	source_plus_focal_effect	focal_ascertainment	0.6862025672687236	0.8406115455349324	1.0350564332373067	1.2467221364948853	1.471394794419553
inclusive_ceiling	narrow	1.0	source_plus_focal_effect	focal_probability	0.5358325575928531	0.6677812054989494	0.7311859863943242	0.7891460535040656	0.8767270537154414
inclusive_ceiling	narrow	2.0	source_opportunity_only	source_ratio	2.8038604568642613	4.374657713807637	5.524890897292093	6.98805995549977	11.108056807826094
inclusive_ceiling	narrow	2.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	2.0	source_opportunity_only	focal_ascertainment	0.8071889144681583	1.1450367534809411	1.3042711975712364	1.413808376343653	1.4921014113950881
inclusive_ceiling	narrow	2.0	source_opportunity_only	focal_probability	0.3708615473706333	0.4776412924749991	0.53442012197473	0.5904647026603761	0.6917539945748328
inclusive_ceiling	narrow	2.0	source_plus_focal_effect	source_ratio	0.30097838065482535	0.6655171138653537	0.9614499493945311	1.6076658655430758	3.4244911897325627
inclusive_ceiling	narrow	2.0	source_plus_focal_effect	focal_effect	3.3333543434207034	9.414214488949641	16.09144346390245	26.012269010351194	44.87778839111242
inclusive_ceiling	narrow	2.0	source_plus_focal_effect	focal_ascertainment	0.6853940379023321	0.8557969010591285	1.0422256765631879	1.257983316217162	1.46285102094777
inclusive_ceiling	narrow	2.0	source_plus_focal_effect	focal_probability	0.5347554247593234	0.6646145539707032	0.7258091572735036	0.7784284161236856	0.836676588500581
inclusive_ceiling	narrow	5.0	source_opportunity_only	source_ratio	1.8655665527974568	2.694156555159053	3.2546738700199893	3.9174811916019063	5.580277717413681
inclusive_ceiling	narrow	5.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
inclusive_ceiling	narrow	5.0	source_opportunity_only	focal_ascertainment	0.9543672028321549	1.2521628903576993	1.3684644306535128	1.44324176840103	1.494848566976732
inclusive_ceiling	narrow	5.0	source_opportunity_only	focal_probability	0.28821840322628256	0.3718021918057483	0.41751195429900395	0.46387815039903024	0.5528019359554719
