feature	locus	lr_positive_people	sr_callable_lr_positive_people	sr_recovered_people	sr_unknown_people	conditional_positive_concordance	overall_workflow_recovery	ci_low	ci_high	missed_callable_people
gag_pro_pol	HML-2_Xq11.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_Xq12	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_Xq21.33	6	0	0	6	nan	0.0	nan	nan	0
gag_pro_pol	HML-2_Xq28b	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_10p14	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_10q24.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_11p15.4	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_11q12.1	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_11q12.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_11q22.1	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_11q23.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_12p11.21	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_12q13.2	184	184	0	0	0.0	0.0	0.0	0.02045053762258643	184
env	HML-2_12q14.1	195	195	195	0	1.0	1.0	0.9806807954262788	1.0	0
env	HML-2_12q24.33	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_15q25.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_16p11.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19p12a	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19p12b	64	64	0	0	0.0	0.0	0.0	0.05662405979280534	64
env	HML-2_19p12c	25	25	0	0	0.0	0.0	1.3877787807814457e-17	0.13319225093904846	25
env	HML-2_19p12d	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19p12e	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19p13.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19q12	282	282	282	0	1.0	1.0	0.9865608759606008	1.0	0
env	HML-2_19q13.12a	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19q13.12b	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19q13.41	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_19q13.42	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1p31.1b	9	9	0	0	0.0	0.0	0.0	0.2991450484195441	9
env	HML-2_1p34.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1p36.21a	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1p36.21b	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1p36.21c	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1q21.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1q22	282	282	282	0	1.0	1.0	0.9865608759606008	1.0	0
env	HML-2_1q23.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1q24.1	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1q32.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_1q43	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_20q11.22	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_21q21.1	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_22q11.21	279	279	279	0	1.0	1.0	0.9864183318926757	1.0	0
env	HML-2_22q11.23	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_2q21.1	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3p12.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3p25.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3q12.3	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3q13.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3q21.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3q24_hg38	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_3q27.2	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_4p16.1a	0	0	0	0	nan	nan	nan	nan	0
env	HML-2_4p16.1b	0	0	0	0	nan	nan	nan	nan	0
