outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Im2012_intrinsic_growth	general::type2_compatible_gag_units	general::type2_physical_units	fit	34	-0.0735778909831533	0.15795991139200816	0.6447221375403258	-0.39617506721883566	0.24901928525252903	-0.09010909618125006	fit	-0.06754887828176132	0.6712815596678872	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_physical_units		fit	116	0.022333797172024702	0.054426711794908066	0.682328960548857	-0.08549533526356944	0.13016292960761883	0.039719286920824555	fit	0.03595691697812412	0.5344561416899039	0.9768690280444354
Im2012_intrinsic_growth	general::type2_compatible_pol_units	general::type2_physical_units	fit	34	-0.11459265862824401	0.2847693915251857	0.6902389148918134	-0.6961693433377939	0.4669840260813059	-0.08818427521600965	fit	-0.11163440104741956	0.6669764620535676	0.9768690280444354
Mandage2017_EBV_in_silico	general::type2_compatible_pro_units	general::type2_physical_units	fit	116	-0.02810693606567257	0.07277614772823296	0.7000667591487146	-0.17228961057870762	0.11607573844736246	-0.045579645427610484	fit	-0.0070515427395131825	0.9328922290578621	0.9768690280444354
Im2012_intrinsic_growth	general::type2_compatible_env_units	general::type2_physical_units	fit	34	0.08033259954413766	0.21000591314412398	0.7047684508696915	-0.3485566925304968	0.5092218916187722	0.09128205029716321	fit	0.05641274105497959	0.7637656492061461	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_compatible_np9_units	general::type1_physical_units	fit	116	0.03938896980489329	0.11394573309674742	0.7302245552922653	-0.1863580786454878	0.2651360182552744	0.06135107031181174	fit	0.009091661617466586	0.9387129960372348	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_compatible_pol_units	general::type1_physical_units	fit	116	0.04038367975220221	0.1313202764493308	0.7590132647811683	-0.21978547274211568	0.3005528322465201	0.03507118024490217	fit	-0.015609852449442303	0.90731784867207	0.9768690280444354
Mandage2017_EBV_in_silico	general::type2_loci_present		fit	116	-0.014228163206894098	0.04823853248697459	0.7685700021702753	-0.10979739633707424	0.08134106992328603	-0.029652532367363458	fit	0.004990565724806224	0.9346448025857746	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_loci_present		fit	116	-0.03491497441029212	0.12564836083399392	0.7816134330755282	-0.2838470390872472	0.21401709026666296	-0.028000554559439565	fit	0.01998562333140192	0.8823916188449226	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_compatible_pro_units	general::type1_physical_units	fit	116	-0.027787737927704587	0.10042610474764707	0.782517219772602	-0.22674996422626242	0.17117448837085325	-0.03600387096880104	fit	0.012491697506404581	0.9067661962840219	0.9768690280444354
Mandage2017_EBV_in_silico	general::type2_physical_units		fit	116	0.007140298313107988	0.025943885943961627	0.7836491796763447	-0.04425921896596288	0.05853981559217886	0.026882466160126954	fit	0.007150683746949155	0.81424398887641	0.9768690280444354
Houldcroft2014_EBV_qPCR	general::type2_compatible_pol_units	general::type2_physical_units	fit	47	-0.0043333857613259575	0.015907902670457903	0.7866147919144975	-0.036414728982913876	0.027747957460261964	-0.036753853152081975	fit	0.0031423829471098007	0.7960867126117316	0.9768690280444354
Im2012_intrinsic_growth	general::type2_compatible_rec_units	general::type2_physical_units	fit	34	-0.056246927910948	0.20754663845405902	0.7882404370926098	-0.480113711023584	0.36761985520168805	-0.12038027198004217	fit	-0.026626041926906527	0.886511230115509	0.9768690280444354
Houldcroft2014_EBV_qPCR	general::type2_compatible_rec_units	general::type2_physical_units	fit	47	-0.002561811279996532	0.011337019697703146	0.8222964491318491	-0.02542509046684665	0.020301467906853582	-0.06088155137481816	fit	-0.002791044002022275	0.812021588320957	0.9768690280444354
Mandage2017_EBV_in_silico	general::type2_compatible_gag_units	general::type2_physical_units	fit	116	-0.012308273955596258	0.07220408346500709	0.864949243925516	-0.1553575859860052	0.1307410380748127	-0.017316294330271837	fit	0.04892206969794678	0.5044651000151108	0.9768690280444354
Houldcroft2014_EBV_qPCR	general::type1_compatible_pro_units	general::type1_physical_units	fit	47	0.002650677525384993	0.02338213287337529	0.9102701019403517	-0.04450388744165941	0.0498052424924294	0.025893517906977484	fit	0.006784044074409759	0.7621451083095901	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_minus_type2_units		fit	116	-0.002669562259891075	0.023907339335509748	0.9112888206425688	-0.050034313397264545	0.044695188877482396	-0.009581503527876735	fit	0.001499947248103083	0.9576893763202631	0.9768690280444354
Houldcroft2014_EBV_qPCR	general::type2_compatible_gag_units	general::type2_physical_units	fit	47	0.0007211785197626186	0.007561509527252068	0.9244601129984813	-0.014528058758233497	0.015970415797758736	0.009311375394919663	fit	0.006599479753457961	0.24276266390832446	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_fraction		fit	116	0.3797937219458625	4.224233767836786	0.928519244320507	-7.98917525246857	8.748762696360295	0.007072909712182796	fit	1.75023926554141	0.7203694080963695	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_type2_log_ratio		fit	116	0.05365038041344819	0.6638700326032969	0.9357323690189492	-1.2615958893841743	1.3688966502110709	0.006349348753389653	fit	0.26236485989784014	0.7332055496173232	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_compatible_env_units	general::type1_physical_units	fit	116	-0.005862978943312554	0.11200603053879182	0.9583460561170198	-0.22776712678276564	0.21604116889614053	-0.006212956041181636	fit	0.0012593963324867771	0.9914540077713765	0.9768690280444354
Im2012_intrinsic_growth	general::type1_compatible_pro_units	general::type1_physical_units	fit	34	0.012447903262432572	0.27139935996811937	0.9637213031680691	-0.5418235342582424	0.5667193407831076	0.009474425810592945	fit	-0.052647371739095145	0.8652830009148851	0.9768690280444354
Mandage2017_EBV_in_silico	general::type1_compatible_gag_units	general::type1_physical_units	fit	116	-0.0027957266525883394	0.09620960079864646	0.9768690280444354	-0.1934042981419918	0.18781284483681512	-0.0037543363086862524	fit	0.019122918057613465	0.8326425431420046	0.9768690280444354
