outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	analysis_model_status	included_in_bh_family	bh_family_size	bh_exclusion_reason	q_bh_finite_model_suite
Mandage2017_EBV_in_silico	general::type2_loci_present	0.944423159695284	fit	0.7685700021702753	-0.014228163206894098	116.0	True	0.7685700021702753	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_12q13.2::orf::orf_gag_pro	0.770790338044106	NA	NA	NA	NA	False	0.770790338044106	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_12q13.2::orf::orf_pro	0.770790338044106	NA	NA	NA	NA	False	0.770790338044106	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_10p12.1::orf::orf_pro	0.779985112959773	NA	NA	NA	NA	False	0.779985112959773	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type1_loci_present	0.658347315251434	fit	0.7816134330755282	-0.03491497441029212	116.0	True	0.7816134330755282	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type1_compatible_pro_units	0.769208767933556	fit	0.782517219772602	-0.027787737927704587	116.0	True	0.782517219772602	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type2_physical_units	0.870854949837151	fit	0.7836491796763447	0.007140298313107988	116.0	True	0.7836491796763447	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	general::type2_compatible_pol_units	0.954883112688954	fit	0.7866147919144975	-0.0043333857613259575	47.0	True	0.7866147919144975	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::gag_compatible_fraction	0.787498546075932	NA	NA	NA	NA	False	0.787498546075932	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	general::type2_compatible_rec_units	0.896635084628428	fit	0.7882404370926098	-0.056246927910948	34.0	True	0.7882404370926098	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_10p12.1::orf::orf_gag_pro	0.79352890293346	NA	NA	NA	NA	False	0.79352890293346	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_10p12.1::orf::orf_gag_pro_pol	0.79352890293346	NA	NA	NA	NA	False	0.79352890293346	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_7p22.1::any_array	0.80764519283092	NA	NA	NA	NA	False	0.80764519283092	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	general::type2_compatible_rec_units	0.874002980634787	fit	0.8222964491318491	-0.002561811279996532	47.0	True	0.8222964491318491	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::structural::multi_vs_single	0.836337469098997	fit	0.8363374690989798	-0.0035297335900572394	47.0	True	0.8363374690989798	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::array_haplotype_count	0.836337469098997	NA	NA	NA	NA	False	0.836337469098997	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_7p22.1::array_haplotype_count	0.842724560700916	NA	NA	NA	NA	False	0.842724560700916	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_7p22.1::structural::multi_vs_single	0.842724560700916	fit	0.8427245607009207	0.027028557480571685	116.0	True	0.8427245607009207	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	HML-2_19p12b::structural::provirus_vs_absent	0.847333996294723	NA	NA	NA	NA	False	0.847333996294723	fit	True	174		0.9825156698250391
